nombre,url,origen,idioma,licencia,tipo_proyecto,equipo,tema
La argentina manuscrita,http://hdlab.space/La-Argentina-Manuscrita/,"Buenos Aires, Argentina",es,CC BY 4.0,"Edición digital, Georeferenciación y anotación semántica",,
Family Letters,https://familyletters.unl.edu/en/,"Lincoln, Nebraska","es, en",CC BY-NC-SA 3.0,"Edición digital, Georeferenciación y base de datos",,
Digital Nollywood,https://digitalnollywood.ku.edu/,Nigeria,"en, yo",None,"Base de datos, imágenes",,
Asian Shakespeare Intercultural Archive,http://a-s-i-a-web.org/en/home.php,Singapur,"en, cn, jp, kr",Copyright 2015,"Base de datos, videos, texto",,
Patristic Text Archive,https://pta.bbaw.de/pta/,"Berlín, Alemania","en, la, de",CC-BY-SA,"Base de datos, TEI, Texto",,
Intercambios Oceánicos,https://intercambiosoceanicos.iib.unam.mx/,Ciudad de México,es,CC BY-NC-SA 4.0,"Periódicos, herramientas lingüísticas",,
Digging in to Early Colonial Mexico ,https://www.lancaster.ac.uk/digging-ecm,"Lancaster, Lancashire, England","en, es",Copyright U de Lancaster,"Corpus, Text Mining, Natural Language Processing, Machine Learning y Geographic Information Systems",,
CEISMIC. Digital Archive of the Canterbury earthquakes,http://www.ceismic.org.nz,"Christchurch, New Zealand",en,Copyright Universidad de Canterbury,"Archivo digital, imágenes, texto, audio, video",,
Sefaria,https://www.sefaria.org,Israel,"en, he",None,"Base de datos, textos, traducciones y comentarios",,
Biblioteca Digital de Humanidades,https://www.uv.mx/bdh/,"Veracruz, Mexico",es,Copyright Universidad Veracruzana,Biblioteca digital,,
Script Encoding Initiative,http://linguistics.berkeley.edu/~dwanders/,"Berkeley, CA",,,,,
Mark Twain Project Online,http://www.marktwainproject.org/,"Berkeley, CA",,,"Outside a center and within a library, with no faculty affiliates; all staff are equal participants, therefore, with none serving in ""support"" capacity. We also employ students, so far primarily from UCB's English dept.","Mark Twain Papers & Project, The Bancroft Library, UC Berkeley",
,http://metalab.harvard.edu/,"Cambridge, MA",,,,MetaLab,
Implementing New Knowledge Environments,http://inke.ca/,"Canada, U.S., England (more?)",,,,,
,http://www.nines.org/,"Charlottesville, VA",,,,NINES,
Haiti Lab,http://www.fhi.duke.edu/labs/haiti-lab,"Durham, NC",,,"The lab merges research, education, and practical applications of innovative thinking for Haiti's disaster recovery and for the expansion of Haitian studies in the U.S. and Haiti. ",Duke Franklin Humanities Institute,Haiti and the Diaspora
,http://www2.matrix.msu.edu/ ,"E. Lansing, MI",,,"(one of their foci is digital work ""in and about Africa"") http://bit.ly/VQnDr9",Matrix,
,http://chi.anthropology.msu.edu,"East Lansing, MI",,,Cultural Heritage Informatics Grad Fellowship (http://chi.anthropology.msu.edu/fellowships/) & Cultural Heritage Informatics Fieldschool (http://chi.anthropology.msu.edu/fieldschool/),Cultural Heritage Informatics Initiative,
,http://chnm.gmu.edu/,"Fairfax, VA",,,"The CHNM uses digital media and computer technology to democratize history—to incorporate multiple voices, reach diverse audiences, and encourage popular participation in presenting and preserving the past.",CHNM,
Medieval Electronic Scholarly Alliance (MESA),http://www.dlib.indiana.edu/projects/mesa/,Indiana.edu,,,MESA aims at the creation of a meta-search for medieval materials,"Dot Porter, Tim Stinson",medieval meta search
,http://cdrh.unl.edu/,"Lincoln, NE",,,,CDRH,
The Walt Whitman Archive,http://whitmanarchive.org,"Lincoln, NE",,,,CDRH,
The Willa Cather Archive,http://cather.unl.edu,"Lincoln, NE",,,,CDRH,
Railroads and the Making of Modern America,http://railroads.unl.edu/,"Lincoln, NE",,,,CDRH,
The William F. Cody Archive,http://codyarchive.org/,"Lincoln, NE",,,,CDRH,
The History Harvest,http://historyharvest.unl.edu/,"Lincoln, NE",,,,CDRH,
Civil War Washington,http://civilwardc.org/,"Lincoln, NE",,,,CDRH,
Hispanic Baroque,http://cultureplex.ca,"London,ON",,,,CulturePlexLab,"Transatlantic Hispanic Baroque, cultural complexity,"
Voyant Tools,http://voyant-tools.org/,"Montreal, QC",,,,,
CUNY Academic Commons,http://commons.gc.cuny.edu/,"New York, NY",,,,,
DH Box,http://dhbox.org,"New York, NY",,,Maintained by Stephen Zweibel (@stevezweibel); Jekyll website by Harlan Kellaway (@DigiHumanatee),,
,http://cesta.stanford.edu,"Stanford, CA",,,,CESTA,
,http://hastac.org/,USA,,,,HASTAC,
,http://mvp.uvic.ca/,"Victoria, BC",,,,Modernist Versions Project,
,http://etcl.uvic.ca/,"Victoria, BC",,,,Electronic Textual Cultures Lab,
,http://hcmc.uvic.ca/,"Victoria, BC",,,,Humanities Computing and Media Centre,
The Map of Early Modern London,http://mapoflondon.uvic.ca/,"Victoria, BC",,,,,
,http://maker.uvic.ca/,"Victoria, BC",,,our website launches this month :) ,Maker Lab in the Humanities ,
Early English Broadside Archive,http://ebba.english.ucsb.edu/,"Santa Barbara, CA",,,"To this end, in May 2003, EBBA set its sights first on digitizing the largest extant collection of English broadside ballads published in the 17th century: the five volumes of ballads collected by Samuel Pepys held at Magdalene College, Cambridge. With seed monies and then more substantial funding, the full archiving of the Pepys Collection of over 1,800 ballads is now complete. We have also archived the second largest collection of English 17th century black-letter ballads: the four volumes (in five books) of Roxburghe Ballads held at the British Library, London. Some 1,500 broadside ballads are included in the Roxburghe Collection. Other collections we have also archived include the Euing collection of 408 black-letter ballads held at the University of Glasgow as well as the approximately 600 early broadside ballads at the Huntington Library in Pasadena (including the many broadside ballads collected in the 17th century by Narcissus Luttrell and later bound in what is known as the Bindley collection, the invaluable Britwell collection of some 90 loose black-letter ballads of the 16th century, and many other bound and loose sheets not in named collections). We are currently archiving the Crawford collection from the National Library of Scotland, Edinburgh.","Patricia Fumerton, Carl Stahmer, et al",Early Modern England
Driving Through Time: The Digital Blue Ridge Parkway,http://docsouth.unc.edu/blueridgeparkway/,"Chapel Hill, NC",,,"""Driving Through Time"" brings together for the first time a vast array of primary source materials documenting the history of the National Park Service's Blue Ridge Parkway from the 1930s to the present. Over 8000 historic photographs, maps, newspapers, oral histories, and other documents are included, the majority coming from the Blue Ridge Parkway archives and North Carolina State Archives.  All materials are searchable by keyword and geographic location. Dozens of historic maps have been georectified with ""overlay"" views that allow seeing the Parkway past and present together on a map.  Interpretive essays provide context for the collection.","Anne Whisnant, Natasha Smith, Tim Shearer, Mike Millner, University of North Carolina Libraries","Appalachian history; North Carolina, Virginia; National Parks"
DIY History,http://diyhistory.lib.uiowa.edu/,"Iowa City, IA",,,,"Digital Research and Publishing, U of I Libraries",
Uncle Dale's Old Mormon Newspaper Articles,http://www.sidneyrigdon.com/dbroadhu/,"Hilo, Hawaii",,,"Prof. Broadhurst began working on this DH project in the late 1990s, using OCR to transcribe 19th-century manuscripts and newspaper articles related to the history of American Mormonism. Broadhurst was an early recruiter of collaborative history volunteers to transcribe and annotate many of the articles. He's assembled one of the largest archives of American Mormon primary sources that is not controlled by the LDS Church. This website is enormously important to historians of U.S. religion, and steps should be taken to preserve it for the long term.","Prof. Dale Broadhurst, Independent Linguistics & Mormonism Scholar",Northeast; Midwest; Utah; Mormon Exodus
"Chinese language based DH work, including large archives and analysis tools",http://www.digital.ntu.edu.tw,"Taipei, Taiwan",,,,"Research Center for Digital Humanites, National Taiwan University",
Tripitaka Koreana Knowledgebase,http://kb.sutra.re.kr/ritk_eng/index.do,"Seoul, S. Korea",,,,,Korea
ASIAN ICONOGRAPHIC RESOURCES ,http://air.w3.kanazawa-u.ac.jp/,"Kanazawa, Japan",,,Resources are taken from various parts in Asia.,,"South Asia, Southeast Asia, Central Asia"
Game Archive Project,http://www.rcgs.jp/,"Kyoto, Japan",,,Archiving Japanese games. They also have a ,Ritsumeikan Center for Game Studies,"Kyoto, Game Studies, Emulators"
Digital Silk Road project,http://dsr.nii.ac.jp/index.html.en,"Tokyo, Japan",,,This project collects mainly central Asian resources.,National Institute of Informatics,Central Asia
Grammatological Informatics based on Corpora of Asian Scripts project,http://www.gicas.jp/about_gicas_e.html,"Tokyo, Japan",,,,"Research Institute for Languages and Cultures of Asia and Africa, Tokyo University of Foreign Studies","South Asia, Southeast Asia, Central Asia, Africa"
Center for Informatics in East Asian Studies,http://www.kita.zinbun.kyoto-u.ac.jp/database/,"Kyoto, Japan",,,It includes mainly Chinese cultural databases introduced by Japanese.,,China
National Muesum of Ethnology,http://htq.minpaku.ac.jp/menu/database_eng.html,"Osaka, Japan",,,Many projects of digitized ethnological resources from various parts in the world,,Global ethnological resources
Japanese Woodblock Print Database,http://ukiyo-e.org/,Japan,,,A comprehensive database of Japanese Woodblock Prints (Ukiyo-e) in both English and Japanese.,John Resig,Japan
Center for Evolving Humanities,http://21dzk.l.u-tokyo.ac.jp/CEH/index.php?English%20FrontPage,Japan,,,,,Asia
Nara National Research Institute for Cultural Properties,http://www.nabunken.go.jp/english/database.html,Japan,,,,,Japan
The Humanities GIS Reseach Group,http://www.h-gis.org/index.html,Japan,,,,,Japan
Korea Biographical Database,http://people.aks.ac.kr/,"Seoul, Korea",,,,The Academy of Korean Studies,Korea
The Annals of the Choson Dynasty,http://sillok.history.go.kr/main/main.jsp,"Seoul, Korea",,,,National Institute of Korean History,Korea
The Korean History DB,http://db.history.go.kr/,"Seoul, Korea",,,,National Institute of Korean History,Korea
