http://ancientasheville.wikispaces.com/ 

 || ConnectionError
http://web.library.emory.edu/disc || 404
http://www.facebook.com/HarryRansomCenterFragments
and 
http://www.flickr.com/photos/ransom_center_fragments/ || 404
http://dirt.projectbamboo.org/ || ConnectionError
http://interactives.tapor.ualberta.ca/ || ConnectionError
http://www.scholarslab.org/ || 404
http://mith.umd.edu/research/project/active-ocr/ || 404
http://worldhistoryforusall.sdsu.edu || ConnectionError
http://blogs.stockton.edu/postcolonialstudies || SSLError
coptic.pacific.edu || ConnectionError
http://www.ddbc.edu.tw/en/digital_archives/projects.html || ConnectionError
http://www2.dhii.jp/dhomeka/neatline-exhibits/show/event-reports-of-dh/fullscreen || 404
http://www.l.u-tokyo.ac.jp/~angisj/ANGIS(Japan)_en/index_en.html || 404
http://appsrv.cse.cuhk.edu.hk/~irg/ || SSLError
http://www.dh-jac.net/ http://www.ritsumei.ac.jp/eng/html/research/areas/feat-projects/japanese/10-08-digital_museum.html/  || 404
http://irc.aa.tufs.ac.jp/projects/project_list.html || 404
http://common1.nichibun.ac.jp/GlobalFinder/cgi/Start.exe || SSLError
http://www.cias.kyoto-u.ac.jp/en/database/ || 404
http://www.enpaku.waseda.ac.jp/db_en/index-e.html || ConnectionError
http://www.emuseum.jp/top?d_lang=en || ConnectionError
http://www.kyoto-gakuha.info/ || ConnectionError
http://wwwap.hi.u-tokyo.ac.jp/ships/db-e.html || ConnectionError
http://joao-roiz.jp/HNG11/ || 404
http://www.koreanhistory.or.kr/eng/index.jsp || 400
http://www.kostma.net/?lang=en || 500
http://gsm.nricp.go.kr || ConnectionError
http://koreandb.nate.com/ || ConnectionError
http://www.npm.gov.tw/en/default.aspx?k=03 || 404
http://archivomesoamericano.org/camvasb/home.html || 404
http://sandbox.colmex.mx/legmex/ || 404
http://www.bdpn.unam.mx/ || ConnectionError
http://www.brasiliana.usp.br/ || SSLError
http://mapahd.org || 404
www.museuimperial.gov.br/dami || ConnectionError
http://www.caicyt-conicet.gov.ar/micrositios/hd/ || ConnectionError
http://digilab.uniroma1.it/ || SSLError
http://www.digitalvariants.org/ || ConnectionError
http://uned.es/remetca || ConnectionError
http://www.cirp.es/pls/bdo2/f?p=MEDDB2 || 404
http://www.stef.ens-cachan.fr/manifs/translit/colloque_translit_det.html || ConnectionError
http://patrimonioyculturadigital.uma.es/ || ConnectionError
http://artelope.uv.es/ || SSLError
http://www.catma.de/ || 403
http://simulpast.imf.csic.es || ConnectionError
http://www.opendaht.org || ConnectionError
http://www.hab.de/en/home/library/wolfenbuettel-digital-library/digital-editions.html || 404
http://www.csl.unifi.it/ || SSLError
http://www.mqdq.it/mqdq/poetiditalia || 404
coptic.pacific.edu || ConnectionError
http://rabat.unesco.org/majaliss/ || ConnectionError
http://www.econtent.org.sa/ || ConnectionError
http://lambalabs.org || ConnectionError
http://www.cultnat.org/ || SSLError
http://www.memoryarabworld.net || SSLError
http://shahnama.caret.cam.ac.uk/new/jnama/page/ || ConnectionError
http://www.fai.org.lb/Template.aspx?id=8 || ConnectionError
http://www.digitalislam.eu/ || ConnectionError
http://orient-digital.staatsbibliothek-berlin.de/content/below/index.xml || 404
http://ada.usal.es/ || ConnectionError
http://www.siratbanihilal.ucsb.edu/start-0 || 400
http://humanistika.org/ || 523
 http://digar.nlib.ee/  http://dea.nlib.ee/  || ConnectionError
http://hi.sfu-kras.ru/node/78 || 404
www.slowenisch.uni-hamburg.de/ || ConnectionError
http://hi.sfu-kras.ru/node/78 || 404
http://boinc.cs.uct.ac.za/transcribe_bushman/ || ConnectionError
http://www.cet.uct.ac.za/ || 403
http://www.ajol.info/index.php/index/search/google?search=digital+library&x=0&y=0 || 404
http://www.ahm.uem.mz/index.php?option=com_content&view=article&id=1&Itemid=2 || 404
http://africanactivist.msu.edu/  || 404
http://www.marghumanities.org/ || ConnectionError
http://statelibrary.kerala.gov.in/rarebooks/index.php || 404
https://communitycookbooks.wixsite.com/website/cookbook-inventory || 404
http://www.iabu.org/node/46 || 403
www.3cdium.com || ConnectionError
http://austese.net/ || ConnectionError
http://heur-db-pro-1.ucc.usyd.edu.au/HEURIST/harlem/ || ConnectionError
